date,isin_corporate_name_cleaned,company_parent_country,target_country1,target_country2,target_country3,target_country4,target_country5,target_country6,ngo_name1,ngo_name2,ngo_name3,ngo_name4,ngo_name5
2010-06-03,Deutsche Bank ,Germany,Belgium,,,,,,Friends of the Earth Europe / FoE Europe,Greenpeace Belgium,WWF Belgium,FairFin (previously Netwerk Vlaanderen),Bond Beter Leefmilieu BBL
2010-06-03,,US,Belgium,,,,,,Friends of the Earth Europe / FoE Europe,Greenpeace Belgium,WWF Belgium,FairFin (previously Netwerk Vlaanderen),Bond Beter Leefmilieu BBL
2010-06-03,ING Groep ,Netherlands,Belgium,,,,,,Friends of the Earth Europe / FoE Europe,Greenpeace Belgium,WWF Belgium,FairFin (previously Netwerk Vlaanderen),Bond Beter Leefmilieu BBL
2010-06-03,Dexia ,Belgium,Belgium,,,,,,Friends of the Earth Europe / FoE Europe,Greenpeace Belgium,WWF Belgium,FairFin (previously Netwerk Vlaanderen),Bond Beter Leefmilieu BBL
2010-06-03,KBC Groep ,Belgium,Belgium,,,,,,Friends of the Earth Europe / FoE Europe,Greenpeace Belgium,WWF Belgium,FairFin (previously Netwerk Vlaanderen),Bond Beter Leefmilieu BBL
2010-06-02,Banco Popolare SC ,Italy,Italy,,,,,,Greenpeace Italy,CRBM Campagna per la Riforma della Banca Mondiale ,,,
2010-06-02,,Italy,Italy,,,,,,Greenpeace Italy,CRBM Campagna per la Riforma della Banca Mondiale ,,,
2010-06-02,,Italy,Italy,,,,,,Greenpeace Italy,CRBM Campagna per la Riforma della Banca Mondiale ,,,
2010-06-01,,UK,UK,,,,,,Climate Camp UK,,,,
2010-05-28,,UK,EU-Brussels,,,,,,Amis de la Terre France / FoE France,Urgewald,CRBM Campagna per la Riforma della Banca Mondiale ,Antiatom Szene ,
2010-05-28,BNP Paribas ,France,EU-Brussels,,,,,,Amis de la Terre France / FoE France,Urgewald,CRBM Campagna per la Riforma della Banca Mondiale ,Antiatom Szene ,
2010-05-28,Deutsche Bank ,Germany,EU-Brussels,,,,,,Amis de la Terre France / FoE France,Urgewald,CRBM Campagna per la Riforma della Banca Mondiale ,Antiatom Szene ,
2010-05-28,HSBC   ,UK,EU-Brussels,,,,,,Amis de la Terre France / FoE France,Urgewald,CRBM Campagna per la Riforma della Banca Mondiale ,Antiatom Szene ,
