"GEO_ID","NAME","P3_001N","P3_002N","P3_003N","P3_004N","P3_005N","P3_006N","P3_007N","P3_008N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!White alone"," !!Total:!!Black or African American alone"," !!Total:!!American Indian and Alaska Native alone"," !!Total:!!Asian alone"," !!Total:!!Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Some Other Race alone"," !!Total:!!Two or More Races",
"860Z200US00925","ZCTA5 00925","5501","555","382","46","26","1","1656","2835",
"860Z200US00926","ZCTA5 00926","96732","14509","6172","389","156","15","22009","53482",
"860Z200US00927","ZCTA5 00927","14297","2544","658","84","39","1","2832","8139",
"860Z200US00934","ZCTA5 00934","218","75","19","0","6","0","42","76",
"860Z200US00949","ZCTA5 00949","67453","11112","6275","262","108","9","16999","32688",
"860Z200US00950","ZCTA5 00950","6","0","4","0","0","0","0","2",
"860Z200US00951","ZCTA5 00951","430","44","57","0","0","0","105","224",
"860Z200US00952","ZCTA5 00952","8671","1204","1298","16","7","0","2090","4056",
"860Z200US00953","ZCTA5 00953","66369","10698","3849","326","63","4","18843","32586",
"860Z200US00956","ZCTA5 00956","72353","12053","4298","591","54","9","18245","37103",
"860Z200US00957","ZCTA5 00957","40540","7149","2307","276","58","5","10208","20537",
"860Z200US00959","ZCTA5 00959","43625","7774","2708","220","83","10","9190","23640",
"860Z200US00960","ZCTA5 00960","2891","1199","647","0","2","0","943","100",
"860Z200US00961","ZCTA5 00961","28062","5439","1635","137","64","4","6013","14770",
"860Z200US00962","ZCTA5 00962","19741","2499","1760","228","16","11","4520","10707",
"860Z200US00965","ZCTA5 00965","6168","1493","858","30","9","4","1242","2532",
"860Z200US00966","ZCTA5 00966","16977","2962","477","19","23","1","2857","10638",
"860Z200US00968","ZCTA5 00968","3722","637","63","10","25","1","566","2420",
"860Z200US00969","ZCTA5 00969","38838","6592","1330","137","106","7","7891","22775",
"860Z200US00971","ZCTA5 00971","28517","4411","1708","143","39","10","6733","15473",
"860Z200US00976","ZCTA5 00976","59879","8879","4814","279","45","16","13947","31899",
"860Z200US00979","ZCTA5 00979","14929","2820","1036","78","96","5","3405","7489",
"860Z200US00982","ZCTA5 00982","14182","2104","1810","44","30","2","3270","6922",
"860Z200US00983","ZCTA5 00983","31889","4303","3905","159","44","4","7091","16383",
"860Z200US00985","ZCTA5 00985","31250","4408","4536","162","45","14","7322","14763",
"860Z200US00987","ZCTA5 00987","58427","7799","6278","207","119","13","13899","30112",
"860Z200US01001","ZCTA5 01001","16984","14650","404","37","498","4","347","1044",
"860Z200US01002","ZCTA5 01002","27558","18072","1534","127","4350","6","1027","2442",
"860Z200US01003","ZCTA5 01003","13253","8023","887","17","2674","10","313","1329",
"860Z200US01005","ZCTA5 01005","4900","4481","49","10","30","4","87","239",
"860Z200US01007","ZCTA5 01007","15423","13550","296","13","375","4","216","969",
"860Z200US01008","ZCTA5 01008","1317","1253","0","2","4","0","6","52",
"860Z200US01009","ZCTA5 01009","980","861","12","0","14","4","13","76",
"860Z200US01010","ZCTA5 01010","3711","3354","28","10","32","0","42","245",
"860Z200US01011","ZCTA5 01011","1201","1105","1","9","2","0","10","74",
"860Z200US01012","ZCTA5 01012","519","488","0","0","1","0","5","25",
"860Z200US01013","ZCTA5 01013","23656","15395","1326","101","344","14","3363","3113",
"860Z200US01020","ZCTA5 01020","29781","22950","1139","86","565","29","2215","2797",
"860Z200US01022","ZCTA5 01022","2158","1623","203","13","32","0","140","147",
"860Z200US01026","ZCTA5 01026","1011","922","4","1","3","0","9","72",
"860Z200US01027","ZCTA5 01027","17896","15613","196","56","431","9","454","1137",
"860Z200US01028","ZCTA5 01028","16417","14211","423","18","611","1","255","898",
"860Z200US01029","ZCTA5 01029","714","683","0","0","6","0","0","25",
"860Z200US01030","ZCTA5 01030","11708","10398","207","18","240","4","218","623",
"860Z200US01031","ZCTA5 01031","1406","1288","10","8","6","1","14","79",
