ticker,date,n_tweets,sent_index
V,2017-12-23,3,0.6666666666666666
V,2017-12-24,1,1.0
V,2017-12-25,2,0.5
V,2017-12-26,3,0.3333333333333333
V,2017-12-27,3,0.6666666666666666
V,2017-12-28,8,0.625
V,2017-12-29,2,1.0
V,2017-12-30,4,0.25
V,2017-12-31,1,0.0
V,2018-01-01,10,0.2
V,2018-01-02,24,0.7
V,2018-01-03,17,0.7
V,2018-01-05,66,0.4
V,2018-01-06,16,0.3
V,2018-01-09,13,0.1
V,2018-01-10,29,-0.1
V,2018-01-11,29,0.8
V,2018-01-12,24,0.3
V,2018-01-13,12,0.6
V,2018-01-14,12,0.3
V,2018-01-15,12,0.2
V,2018-01-16,56,0.4
V,2018-01-17,50,0.0
V,2018-01-18,57,0.5
V,2018-01-19,40,0.1
V,2018-01-22,41,0.3
V,2018-01-23,42,0.0
V,2018-01-24,48,0.4
V,2018-01-25,11,0.5
V,2018-01-26,3,0.6666666666666666
V,2018-01-27,34,0.5
V,2018-01-28,21,0.3
V,2018-01-29,56,0.6
V,2018-01-30,49,-0.2
V,2018-01-31,55,0.6
V,2018-02-01,235,0.1
V,2018-02-02,157,0.0
V,2018-02-03,25,0.5
V,2018-02-04,16,0.3
V,2018-02-05,83,0.1
V,2018-02-06,71,0.4
V,2018-02-07,49,0.3
V,2018-02-08,49,0.3
V,2018-02-09,88,0.2
V,2018-02-10,15,0.6
V,2018-02-11,8,0.375
V,2018-02-12,27,0.1
V,2018-02-13,32,0.2
V,2018-02-14,36,0.4
V,2018-02-15,26,0.5
V,2018-02-16,18,0.4
V,2018-02-17,10,0.2
V,2018-02-18,2,1.0
V,2018-02-19,5,0.0
V,2018-02-20,18,-0.1
V,2018-02-21,27,0.1
V,2018-02-22,31,0.7
V,2018-02-23,21,0.1
V,2018-02-24,14,0.3
V,2018-02-25,6,0.3333333333333333
V,2018-02-26,24,0.3
V,2018-02-27,22,0.2
V,2018-02-28,25,0.3
V,2018-03-01,20,0.3
V,2018-03-02,26,0.1
V,2018-03-03,11,0.1
V,2018-03-04,5,0.2
V,2018-03-05,27,0.7
V,2018-03-06,35,-0.1
V,2018-03-07,27,0.2
V,2018-03-08,44,0.2
V,2018-03-09,28,0.3
V,2018-03-10,17,0.2
V,2018-03-11,13,0.4
V,2018-03-12,35,0.5
V,2018-03-13,20,0.0
V,2018-03-14,23,0.2
V,2018-03-15,22,0.1
V,2018-03-16,25,-0.2
V,2018-03-17,7,0.2857142857142857
V,2018-03-18,9,0.2222222222222222
V,2018-03-19,17,0.1
V,2018-03-20,32,0.0
V,2018-03-21,29,0.3
V,2018-03-22,56,0.0
V,2018-03-23,35,-0.1
V,2018-03-24,13,0.2
V,2018-03-25,6,0.16666666666666666
V,2018-03-26,29,-0.1
V,2018-03-27,29,-0.1
V,2018-03-28,27,0.0
V,2018-03-29,26,0.4
V,2018-03-30,17,0.4
V,2018-03-31,12,0.2
V,2018-04-01,2,0.5
V,2018-04-02,24,0.0
V,2018-04-03,15,-0.2
V,2018-04-04,26,0.2
V,2018-04-05,25,-0.1
V,2018-04-06,31,0.0
V,2018-04-07,10,0.4
V,2018-04-08,3,0.3333333333333333
V,2018-04-09,19,0.6
V,2018-04-10,35,0.4
V,2018-04-11,21,0.3
V,2018-04-12,19,0.1
V,2018-04-13,20,0.3
V,2018-04-14,6,-0.16666666666666666
V,2018-04-15,7,0.0
V,2018-04-16,38,0.1
V,2018-04-17,33,0.3
V,2018-04-18,56,0.2
