date,isin_corporate_name_cleaned,company_parent_country,company_parent,sentiment,target_country1,target_country2,target_country3,target_country4,target_country5,target_country6,ngo_name1,ngo_name2,ngo_name3,ngo_name4,ngo_name5
2012-01-20,Wells Fargo ,US,Wells Fargo & Wachovia,-2,US,,,,,,U.S. PIRG,Citizens for Tax Justice,,,
2012-01-19,,UK,RBS Group,-2,UK,,,,,,Which? (UK Consumers Association),,,,
2012-01-19,HSBC   ,UK,HSBC,1,UK,,,,,,Which? (UK Consumers Association),,,,
2012-01-19,,Spain,Grupo Santander,-2,UK,,,,,,Which? (UK Consumers Association),,,,
2012-01-19,,UK,RBS Group,-2,UK,,,,,,Which? (UK Consumers Association),,,,
2012-01-19,HSBC   ,UK,HSBC,1,UK,,,,,,Which? (UK Consumers Association),,,,
2012-01-19,Lloyds Banking  ,UK,Lloyds Banking Group plc,-2,UK,,,,,,Which? (UK Consumers Association),,,,
2012-01-19,,UK,Co-operative Group (UK),2,UK,,,,,,Which? (UK Consumers Association),,,,
2012-01-19,,UK,Co-operative Group (UK),1,UK,,,,,,Which? (UK Consumers Association),,,,
2012-01-18,BNP Paribas ,France,BNP Paribas,-1,Belgium,,,,,,FairFin (previously Netwerk Vlaanderen),,,,
2012-01-18,ING Groep ,Netherlands,ING,-1,Belgium,,,,,,FairFin (previously Netwerk Vlaanderen),,,,
2012-01-18,Dexia ,Belgium,Dexia Bank,-1,Belgium,,,,,,FairFin (previously Netwerk Vlaanderen),,,,
2012-01-18,KBC Groep ,Belgium,KBC Bank,-1,Belgium,,,,,,FairFin (previously Netwerk Vlaanderen),,,,
2012-01-18,,UK,RBS Group,-2,UK,,,,,,Which? (UK Consumers Association),,,,
2012-01-18,HSBC   ,UK,HSBC,-2,UK,,,,,,Which? (UK Consumers Association),,,,
2012-01-18,Barclays  ,UK,Barclays Bank,2,UK,,,,,,Which? (UK Consumers Association),,,,
2012-01-18,HSBC   ,UK,HSBC,-2,UK,,,,,,Which? (UK Consumers Association),,,,
2012-01-18,Lloyds Banking  ,UK,Lloyds Banking Group plc,2,UK,,,,,,Which? (UK Consumers Association),,,,
2012-01-18,,UK,Nationwide Building Society,-2,UK,,,,,,Which? (UK Consumers Association),,,,
2012-01-16,Bank of America ,US,Bank of America,-2,US,,,,,,Rainforest Action Network RAN,,,,
2012-01-13,Bank of America ,US,Bank of America,-2,US,,,,,,Occupy Portland,Portland Action Lab,Earth First,,
2012-01-11,Bank of America ,US,Bank of America,-2,US,,,,,,Occupy Wall Street West,,,,
2012-01-11,JPMorgan Chase ,US,JP Morgan Chase,-2,US,,,,,,Occupy Wall Street West,,,,
2012-01-11,Morgan Stanley ,US,Morgan Stanley,-2,US,,,,,,Occupy Wall Street West,,,,
2012-01-11,Wells Fargo ,US,Wells Fargo & Wachovia,-2,US,,,,,,Occupy Wall Street West,,,,
2012-01-11,Goldman Sachs ,US,"Goldman Sachs Group, Inc.",-2,US,,,,,,Occupy Wall Street West,,,,
2012-01-11,Bank of America ,US,Bank of America,-2,US,,,,,,Occupy Wall Street West,,,,
2012-01-11,,UK,Capital International,-2,US,,,,,,Occupy Wall Street West,,,,
2012-01-10,Bank of America ,US,Bank of America,-2,US,,,,,,The New Bottom Line,Rainforest Action Network RAN,,,
2012-01-09,Goldman Sachs ,US,"Goldman Sachs Group, Inc.",-2,UK,,,,,,Avaaz,,,,
2012-01-06,,US,Apollo Global Management,-1,US,,,,,,Humane Society HSUS,,,,
2012-01-06,Barclays  ,UK,Barclays Bank,-2,Brazil,Japan,Papua New Guinea,Switzerland,,,Greenpeace Switzerland,Berne Declaration EvB,,,
2012-01-05,Bank of America ,US,Bank of America,-2,US,,,,,,The Other 98%,,,,
2012-01-05,JPMorgan Chase ,US,JP Morgan Chase,-2,US,,,,,,The Other 98%,,,,
2012-01-05,Wells Fargo ,US,Wells Fargo & Wachovia,-2,US,,,,,,The Other 98%,,,,
2012-01-05,ING Groep ,Netherlands,ING,0,Netherlands,,,,,,Stichting Onderzoek Multinationale Ondernemingen / SOMO,,,,
2012-01-05,,Netherlands,ABN AMRO Bank N.V.,0,Netherlands,,,,,,Stichting Onderzoek Multinationale Ondernemingen / SOMO,,,,
2012-01-05,,Netherlands,Rabobank,0,Netherlands,,,,,,Stichting Onderzoek Multinationale Ondernemingen / SOMO,,,,
2012-01-05,,Netherlands,APG,0,Netherlands,,,,,,Stichting Onderzoek Multinationale Ondernemingen / SOMO,,,,
2012-01-05,,Netherlands,PGGM,2,Netherlands,,,,,,Stichting Onderzoek Multinationale Ondernemingen / SOMO,,,,
2012-01-05,,Netherlands,MN Services,0,Netherlands,,,,,,Stichting Onderzoek Multinationale Ondernemingen / SOMO,,,,
2013-12-18,,US,World Bank,1,China,,,,,,Green Watershed (China),Greenovation Hub,,,
2013-12-18,,Luxembourg,European Investment Bank EIB,1,China,,,,,,Green Watershed (China),Greenovation Hub,,,
2013-12-18,,UK,EBRD,1,China,,,,,,Green Watershed (China),Greenovation Hub,,,
2013-12-18,,UK,RBS Group,-2,UK,,,,,,New Economics Foundation / NEF,,,,
2013-12-18,HSBC   ,UK,HSBC,-2,UK,,,,,,New Economics Foundation / NEF,,,,
2013-12-18,Barclays  ,UK,Barclays Bank,-2,UK,,,,,,New Economics Foundation / NEF,,,,
2013-12-18,Lloyds Banking  ,UK,Lloyds Banking Group plc,-2,UK,,,,,,New Economics Foundation / NEF,,,,
2013-12-18,HSBC   ,UK,HSBC,-2,Colombia,UK,,,,,Global Justice Now (formerly World Development Movement / WDM),,,,
2013-12-18,Legal & General  ,UK,Legal & General Group Plc,-2,Netherlands,,,,,,Eerlijke Bankwijzer / Fair Bank Guide,Eerlijke Verzekeringswijzer / Fair Insurance Guide,,,
2013-12-18,ING Groep ,Netherlands,ING,0,Netherlands,,,,,,Eerlijke Bankwijzer / Fair Bank Guide,Eerlijke Verzekeringswijzer / Fair Insurance Guide,,,
2013-12-18,,Netherlands,ABN AMRO Bank N.V.,0,Netherlands,,,,,,Eerlijke Bankwijzer / Fair Bank Guide,Eerlijke Verzekeringswijzer / Fair Insurance Guide,,,
2013-12-18,,Netherlands,SRH (formerly SNS Reaal),2,Netherlands,,,,,,Eerlijke Bankwijzer / Fair Bank Guide,Eerlijke Verzekeringswijzer / Fair Insurance Guide,,,
2013-12-18,,Netherlands,SRH (formerly SNS Reaal),2,Netherlands,,,,,,Eerlijke Bankwijzer / Fair Bank Guide,Eerlijke Verzekeringswijzer / Fair Insurance Guide,,,
2013-12-18,,Netherlands,Triodos Bank,2,Netherlands,,,,,,Eerlijke Bankwijzer / Fair Bank Guide,Eerlijke Verzekeringswijzer / Fair Insurance Guide,,,
2013-12-18,Aegon ,Netherlands,Aegon Bank,1,Netherlands,,,,,,Eerlijke Bankwijzer / Fair Bank Guide,Eerlijke Verzekeringswijzer / Fair Insurance Guide,,,
2013-12-18,,Netherlands,Rabobank,-1,Netherlands,,,,,,Eerlijke Bankwijzer / Fair Bank Guide,Eerlijke Verzekeringswijzer / Fair Insurance Guide,,,
2013-12-18,,Netherlands,Van Lanschot ,1,Netherlands,,,,,,Eerlijke Bankwijzer / Fair Bank Guide,Eerlijke Verzekeringswijzer / Fair Insurance Guide,,,
2013-12-18,Allianz ,Germany,Allianz SE,-2,Netherlands,,,,,,Eerlijke Bankwijzer / Fair Bank Guide,Eerlijke Verzekeringswijzer / Fair Insurance Guide,,,
2013-12-18,Delta Lloyd ,Netherlands,Delta Lloyd Group,-2,Netherlands,,,,,,Eerlijke Bankwijzer / Fair Bank Guide,Eerlijke Verzekeringswijzer / Fair Insurance Guide,,,
2013-12-18,,Netherlands,APG,-1,Netherlands,,,,,,Eerlijke Bankwijzer / Fair Bank Guide,Eerlijke Verzekeringswijzer / Fair Insurance Guide,,,
2013-12-18,Assicurazioni Generali ,Italy,Gruppo Assicurazioni Generali,-2,Netherlands,,,,,,Eerlijke Bankwijzer / Fair Bank Guide,Eerlijke Verzekeringswijzer / Fair Insurance Guide,,,
2013-12-18,,Netherlands,ASR Nederland,1,Netherlands,,,,,,Eerlijke Bankwijzer / Fair Bank Guide,Eerlijke Verzekeringswijzer / Fair Insurance Guide,,,
2013-12-18,Allianz ,Germany,Allianz SE,-1,Germany,,,,,,Dachverband der Kritischen Aktionaerinnen und Aktionaere / DKAA,,,,
2013-12-18,Danske Bank ,Denmark,Danske Bank,-2,Sweden,,,,,,Sveriges Konsumenter,,,,
2013-12-18,,Sweden,Skandinaviska Enskilda Banken AB (SEB),-2,Sweden,,,,,,Sveriges Konsumenter,,,,
2013-12-18,,Sweden,Folksam,2,Sweden,,,,,,Sveriges Konsumenter,,,,
2013-12-18,Svenska Handelsbanken ,Sweden,Handelsbanken,-2,Sweden,,,,,,Sveriges Konsumenter,,,,
2013-12-18,,Sweden,Alecta,2,Sweden,,,,,,Sveriges Konsumenter,,,,
2013-12-18,,Sweden,AMF,2,Sweden,,,,,,Sveriges Konsumenter,,,,
2013-12-18,,Sweden,KPA Pension,2,Sweden,,,,,,Sveriges Konsumenter,,,,
2013-12-18,,Sweden,Forsta AP-fonden / First AP Fund,-2,Sweden,,,,,,Sveriges Konsumenter,,,,
2013-12-18,,Sweden,Fjarde AP-fonden / Fourth AP Fund,-2,Sweden,,,,,,Sveriges Konsumenter,,,,
2013-12-13,Bank of America ,US,Bank of America,-1,US,,,,,,Green America,,,,
2013-12-13,,US,Citigroup,-1,US,,,,,,Green America,,,,
2013-12-13,JPMorgan Chase ,US,JP Morgan Chase,-1,US,,,,,,Green America,,,,
2013-12-13,Wells Fargo ,US,Wells Fargo & Wachovia,-1,US,,,,,,Green America,,,,
2013-12-13,,US,U.S. Bank,-1,US,,,,,,Green America,,,,
2013-12-13,Capital One Financial ,US,Capital One,-1,US,,,,,,Green America,,,,
2013-12-13,Bank of America ,US,Bank of America,-2,China,South Korea,Netherlands,US,,,Pax (formerly IKV Pax Christi),,,,
2013-12-13,Deutsche Bank ,Germany,Deutsche Bank,-2,China,South Korea,Netherlands,US,,,Pax (formerly IKV Pax Christi),,,,
2013-12-13,,US,Citigroup,-2,China,South Korea,Netherlands,US,,,Pax (formerly IKV Pax Christi),,,,
2013-12-13,JPMorgan Chase ,US,JP Morgan Chase,-2,China,South Korea,Netherlands,US,,,Pax (formerly IKV Pax Christi),,,,
2013-12-13,,US,Fidelity Investments / FMR LLC,-2,China,South Korea,Netherlands,US,,,Pax (formerly IKV Pax Christi),,,,
2013-12-13,,US,Vanguard,-2,China,South Korea,Netherlands,US,,,Pax (formerly IKV Pax Christi),,,,
2013-12-13,Bank of New York Mellon ,US,Bank of New York Mellon,-2,China,South Korea,Netherlands,US,,,Pax (formerly IKV Pax Christi),,,,
2013-12-12,,Luxembourg,European Investment Bank EIB,2,Germany,,,,,,Facing Finance,,,,
2013-12-12,BNP Paribas ,France,BNP Paribas,-2,Germany,,,,,,Facing Finance,,,,
2013-12-12,Deutsche Bank ,Germany,Deutsche Bank,-2,Germany,,,,,,Facing Finance,,,,
2013-12-12,ING Groep ,Netherlands,ING,-2,Germany,,,,,,Facing Finance,,,,
2013-12-12,Commerzbank ,Germany,Commerzbank,-2,Germany,,,,,,Facing Finance,,,,
2013-12-12,UniCredit ,Italy,UniCredit,-2,Germany,,,,,,Facing Finance,,,,
2013-12-12,Barclays  ,UK,Barclays Bank,-2,UK,EU-Brussels,,,,,Global Justice Now (formerly World Development Movement / WDM),,,,
2013-12-12,JPMorgan Chase ,US,JP Morgan Chase,-2,UK,EU-Brussels,,,,,Global Justice Now (formerly World Development Movement / WDM),,,,
2013-12-12,Morgan Stanley ,US,Morgan Stanley,-2,UK,EU-Brussels,,,,,Global Justice Now (formerly World Development Movement / WDM),,,,
2013-12-12,Goldman Sachs ,US,"Goldman Sachs Group, Inc.",-2,UK,EU-Brussels,,,,,Global Justice Now (formerly World Development Movement / WDM),,,,
2013-12-11,Aviva  ,UK,Aviva,2,UK,,,,,,Friends of the Earth England / FoE EWNI,Greenpeace UK,WWF UK,Christian Aid UK,
2013-12-10,,UK,EBRD,-2,Romania,Serbia,Slovenia,EU-Brussels,,,CEE Bankwatch Network,,,,
2013-12-10,Deutsche Bank ,Germany,Deutsche Bank,-2,Germany,,,,,,Misereor,,,,
2013-12-09,,Belgium,Belfius,0,Belgium,,,,,,FairFin (previously Netwerk Vlaanderen),,,,
2013-12-06,,US,World Bank,-1,Philippines,UK,,,,,Christian Aid UK,,,,
2013-12-05,,UK,Virgin Group,1,Chile,,,,,,CONADECUS Asociacion de Consumidores,,,,
2013-12-04,,US,World Bank,0,Nigeria,,,,,,Amnesty International,,,,
2013-12-04,,Sweden,EKN,-1,Brazil,Sweden,,,,,ECA Watch,,,,
2013-12-04,,Sweden,SEK,-1,Brazil,Sweden,,,,,ECA Watch,,,,
2013-12-04,,US,Green Century Funds / Capital Management,0,US,,,,,,California Public Interest Research Group (CALPIRG),,,,
2013-12-04,Barclays  ,UK,Barclays Bank,-1,UK,,,,,,Global Justice Now (formerly World Development Movement / WDM),,,,
2013-12-04,Goldman Sachs ,US,"Goldman Sachs Group, Inc.",-1,UK,,,,,,Global Justice Now (formerly World Development Movement / WDM),,,,
2013-12-03,Deutsche Bank ,Germany,Deutsche Bank,1,Germany,Vietnam,,,,,Global Witness,,,,
2013-12-02,,US,LR Global,-1,Bangladesh,UK,,,,,Global Justice Now (formerly World Development Movement / WDM),Phulbari Solidarity Group,London Mining Network,,
2013-12-02,Barclays  ,UK,Barclays Bank,-2,UK,,,,,,Greenpeace UK,,,,
2013-11-28,HSBC   ,UK,HSBC,-2,Switzerland,,,,,,Berne Declaration EvB,,,,
2013-11-25,,Netherlands,Stichting Pensioenfonds / ABP,2,Netherlands,,,,,,VBDO Dutch Assn of Investors for Sustainable Devel,,,,
2013-11-25,,Netherlands,Pensioenfonds Zorg en Welzijn / PfZW,2,Netherlands,,,,,,VBDO Dutch Assn of Investors for Sustainable Devel,,,,
2013-11-25,,Netherlands,Pensioenfonds van de Metalektro / PME,2,Netherlands,,,,,,VBDO Dutch Assn of Investors for Sustainable Devel,,,,
2013-11-25,,Netherlands,Bedrijfspensioenfonds voor de Landbouw / BPL,2,Netherlands,,,,,,VBDO Dutch Assn of Investors for Sustainable Devel,,,,
2013-11-25,,Netherlands,PNO Media,2,Netherlands,,,,,,VBDO Dutch Assn of Investors for Sustainable Devel,,,,
2013-11-25,,Netherlands,Stichting Pensioenfonds voor Fysiotherapeuten,-2,Netherlands,,,,,,VBDO Dutch Assn of Investors for Sustainable Devel,,,,
2013-11-25,,Netherlands,Pensioenfonds KLM Algemeen,-2,Netherlands,,,,,,VBDO Dutch Assn of Investors for Sustainable Devel,,,,
2013-11-25,,Netherlands,Stichting Pensioenfonds Vliegend Personeel KLM,-2,Netherlands,,,,,,VBDO Dutch Assn of Investors for Sustainable Devel,,,,
2013-11-25,,Netherlands,ABN AMRO Bank N.V.,-2,Netherlands,,,,,,VBDO Dutch Assn of Investors for Sustainable Devel,,,,
2013-11-25,Heineken  ,Netherlands,Heineken,-2,Netherlands,,,,,,VBDO Dutch Assn of Investors for Sustainable Devel,,,,
2013-11-25,,US,Trillium Asset Management,0,US,,,,,,Oxfam America,,,,
2013-11-22,Bank of America ,US,Bank of America,-2,US,,,,,,Essential Action,Center for Corporate Policy,,,
2013-11-22,Deutsche Bank ,Germany,Deutsche Bank,-1,Indonesia,US,EU-Brussels,,,,SumOfUs,Forest Heroes Campaign,,,
2013-11-22,HSBC   ,UK,HSBC,-1,Indonesia,US,EU-Brussels,,,,SumOfUs,Forest Heroes Campaign,,,
2013-11-22,BlackRock ,US,BlackRock,-1,Indonesia,US,EU-Brussels,,,,SumOfUs,Forest Heroes Campaign,,,
2013-11-22,,Netherlands,Rabobank,-1,Indonesia,US,EU-Brussels,,,,SumOfUs,Forest Heroes Campaign,,,
2013-11-22,,US,Fidelity Investments / FMR LLC,-1,Indonesia,US,EU-Brussels,,,,SumOfUs,Forest Heroes Campaign,,,
2013-11-22,Schroders  ,UK,Schroders,-1,Indonesia,US,EU-Brussels,,,,SumOfUs,Forest Heroes Campaign,,,
2013-11-22,,UK,SVM Asset Management,-1,Indonesia,US,EU-Brussels,,,,SumOfUs,Forest Heroes Campaign,,,
2013-11-22,Barclays  ,UK,Barclays Bank,-2,Mozambique,UK,,,,,ActionAid UK,,,,
2013-11-21,,UK,RBS Group,-2,UK,,,,,,Global Justice Now (formerly World Development Movement / WDM),,,,
2013-11-21,HSBC   ,UK,HSBC,-2,UK,,,,,,Global Justice Now (formerly World Development Movement / WDM),,,,
2013-11-21,Barclays  ,UK,Barclays Bank,-2,UK,,,,,,Global Justice Now (formerly World Development Movement / WDM),,,,
2013-11-21,Standard Chartered  ,UK,Standard Chartered Bank,-2,UK,,,,,,Global Justice Now (formerly World Development Movement / WDM),,,,
2013-11-19,,US,World Bank,0,UK,,,,,,PLATFORM ,,,,
2013-11-19,,Luxembourg,European Investment Bank EIB,0,UK,,,,,,PLATFORM ,,,,
2013-11-19,,UK,EBRD,-2,UK,,,,,,PLATFORM ,,,,
2013-11-19,,UK,RBS Group,-2,UK,,,,,,Global Justice Now (formerly World Development Movement / WDM),Counter Balance-EIB,,,
2013-11-19,Visa ,US,Visa Inc,-1,Russia,,,,,,Human Rights Watch HRW,,,,
2013-11-18,Bank of America ,US,Bank of America,-2,US,EU-Brussels,,,,,CEE Bankwatch Network,,,,
2013-11-18,,UK,RBS Group,-2,US,EU-Brussels,,,,,CEE Bankwatch Network,,,,
2013-11-18,BNP Paribas ,France,BNP Paribas,-2,US,EU-Brussels,,,,,CEE Bankwatch Network,,,,
2013-11-18,Deutsche Bank ,Germany,Deutsche Bank,-2,US,EU-Brussels,,,,,CEE Bankwatch Network,,,,
2013-11-18,Barclays  ,UK,Barclays Bank,-2,US,EU-Brussels,,,,,CEE Bankwatch Network,,,,
2013-11-18,,US,Citigroup,-2,US,EU-Brussels,,,,,CEE Bankwatch Network,,,,
2013-11-18,JPMorgan Chase ,US,JP Morgan Chase,-2,US,EU-Brussels,,,,,CEE Bankwatch Network,,,,
2013-11-18,Morgan Stanley ,US,Morgan Stanley,-2,US,EU-Brussels,,,,,CEE Bankwatch Network,,,,
2013-11-14,,US,World Bank,-1,Germany,Vietnam,US,,,,Global Witness,,,,
2013-11-14,Deutsche Bank ,Germany,Deutsche Bank,-1,Germany,Vietnam,US,,,,Global Witness,,,,
2013-11-14,,US,Fund 8 Domestic,-2,US,,,,,,Ohio Valley Environmental Coalition OVEC,West Virginia Highlands Conservancy,Sierra Club U.S.A.,,
2013-11-14,,Sweden,Forsta AP-fonden / First AP Fund,-2,Indonesia,Sweden,,,,,Miljoforbundet Jordens Vanner / FoE Sweden,Forum Syd,,,
2013-11-12,,US,Overseas Private Investment Corporation OPIC,-1,US,,,,,,Environmental Rights Action (ERA) / FoE Nigeria,Justica Ambiental / FoE Mozambique,groundWork / FoE South Africa,Les Amis de la Terre Togo,
2013-11-13,Deutsche Bank ,Germany,Deutsche Bank,-2,Germany,,,,,,Urgewald,Rettet den Regenwald (Rainforest Rescue),,,
2013-11-11,ING Groep ,Netherlands,ING,-2,Netherlands,,,,,,Eerlijke Bankwijzer / Fair Bank Guide,,,,
2013-11-11,,Netherlands,ABN AMRO Bank N.V.,-2,Netherlands,,,,,,Eerlijke Bankwijzer / Fair Bank Guide,,,,
2013-11-11,,Netherlands,SRH (formerly SNS Reaal),-2,Netherlands,,,,,,Eerlijke Bankwijzer / Fair Bank Guide,,,,
2013-11-11,,Netherlands,SRH (formerly SNS Reaal),2,Netherlands,,,,,,Eerlijke Bankwijzer / Fair Bank Guide,,,,
2013-11-11,,Netherlands,Triodos Bank,2,Netherlands,,,,,,Eerlijke Bankwijzer / Fair Bank Guide,,,,
2013-11-11,Aegon ,Netherlands,Aegon Bank,-2,Netherlands,,,,,,Eerlijke Bankwijzer / Fair Bank Guide,,,,
2013-11-11,,Netherlands,Rabobank,-2,Netherlands,,,,,,Eerlijke Bankwijzer / Fair Bank Guide,,,,
2013-11-11,,Netherlands,Van Lanschot ,2,Netherlands,,,,,,Eerlijke Bankwijzer / Fair Bank Guide,,,,
2013-11-11,,Netherlands,NIBC,-1,Netherlands,,,,,,Eerlijke Bankwijzer / Fair Bank Guide,,,,
2013-11-11,Delta Lloyd ,Netherlands,Delta Lloyd Group,-2,Netherlands,,,,,,Eerlijke Bankwijzer / Fair Bank Guide,,,,
2013-11-11,,US,Boston Common Asset Management,0,US,,,,,,As You Sow,Investor Environmental Health Network IEHN,,,
2013-11-11,,US,Green Century Funds / Capital Management,0,US,,,,,,As You Sow,Investor Environmental Health Network IEHN,,,
2013-11-08,HSBC   ,UK,HSBC,-2,Indonesia,Malaysia,UK,,,,Environmental Investigation Agency EIA,,,,
2013-11-08,,US,World Bank,-1,Australia,,,,,,WALHI / FoE Indonesia,Friends of the Earth Australia / FoE Australia,,,
2013-11-07,American Express ,US,American Express Company,-1,US,,,,,,Oxfam America,U.S. PIRG,Financial Accountability and Corporate Transparency (FACT),Americans for Tax Fairness,
2013-11-08,,Germany,Finanzgruppe Deutscher Sparkassen- und Giroverband,-1,Germany,,,,,,PETA Germany,,,,
2013-11-06,Deutsche Bank ,Germany,Deutsche Bank,-2,UK,EU-Brussels,,,,,Global Justice Now (formerly World Development Movement / WDM),,,,
2013-11-06,Barclays  ,UK,Barclays Bank,-2,UK,EU-Brussels,,,,,Global Justice Now (formerly World Development Movement / WDM),,,,
2013-11-06,JPMorgan Chase ,US,JP Morgan Chase,-2,UK,EU-Brussels,,,,,Global Justice Now (formerly World Development Movement / WDM),,,,
2013-11-06,Morgan Stanley ,US,Morgan Stanley,-2,UK,EU-Brussels,,,,,Global Justice Now (formerly World Development Movement / WDM),,,,
2013-11-06,Goldman Sachs ,US,"Goldman Sachs Group, Inc.",-2,UK,EU-Brussels,,,,,Global Justice Now (formerly World Development Movement / WDM),,,,
2013-11-05,HSBC   ,UK,HSBC,0,Brazil,,,,,,WWF Brazil,,,,
2013-11-01,,UK,The Children's Investment Fund Management (TCI),-2,UK,,,,,,Global Justice Now (formerly World Development Movement / WDM),,,,
2013-10-31,,Luxembourg,European Investment Bank EIB,-1,Albania,Bosnia and Herzegovina,Croatia,Italy,Montenegro,EU-Brussels,CEE Bankwatch Network,,,,
2013-10-31,,UK,EBRD,-1,Albania,Bosnia and Herzegovina,Croatia,Italy,Montenegro,EU-Brussels,CEE Bankwatch Network,,,,
2013-10-30,,US,Citigroup,-2,US,,,,,,The Other 98%,,,,
2013-10-29,,Spain,Grupo Santander,-1,Brazil,,,,,,Proteste Brazil / Associao Brasileira de Defesa do Consumidor,,,,
2013-10-29,Dexia ,Belgium,Dexia Bank,-2,Belgium,,,,,,Intal,,,,
2013-10-28,,UK,EBRD,-2,Ukraine,,,,,,Voice of Nature,National Center for Ecological Control,National Environmental Centre of Ukraine (NECU),,
2013-10-25,,UK,TransferWise,2,India,UK,,,,,Oxfam GB,,,,
2013-10-25,,UK,Co-operative Group (UK),0,UK,,,,,,Ethical Consumer ,,,,
2013-10-25,,US,Green Century Funds / Capital Management,2,US,,,,,,350.org,,,,
2013-10-25,,US,Trillium Asset Management,2,US,,,,,,350.org,,,,
2013-10-25,Deutsche Bank ,Germany,Deutsche Bank,-1,Germany,,,,,,Oxfam Deutschland (Germany),,,,
2013-10-25,Commerzbank ,Germany,Commerzbank,2,Germany,,,,,,Oxfam Deutschland (Germany),,,,
2013-10-25,,Germany,BayernLB,2,Germany,,,,,,Oxfam Deutschland (Germany),,,,
2013-10-25,,Austria,Volksbank AG,2,Germany,,,,,,Oxfam Deutschland (Germany),,,,
2013-10-25,,US,Allianz Global Investors,-1,Germany,,,,,,Oxfam Deutschland (Germany),,,,
2013-10-24,HSBC   ,UK,HSBC,-2,Indonesia,UK,,,,,Global Justice Now (formerly World Development Movement / WDM),,,,
2013-10-24,JPMorgan Chase ,US,JP Morgan Chase,-2,US,,,,,,U.S. PIRG,The Other 98%,Americans for Tax Fairness,,
2013-10-23,,UK,RBS Group,-2,Indonesia,UK,,,,,Down to Earth Indonesia,,,,
2013-10-23,HSBC   ,UK,HSBC,-2,Indonesia,UK,,,,,Down to Earth Indonesia,,,,
2013-10-23,Barclays  ,UK,Barclays Bank,-2,Indonesia,UK,,,,,Down to Earth Indonesia,,,,
2013-10-23,Lloyds Banking  ,UK,Lloyds Banking Group plc,-2,Indonesia,UK,,,,,Down to Earth Indonesia,,,,
2013-10-23,Standard Chartered  ,UK,Standard Chartered Bank,-2,Indonesia,UK,,,,,Down to Earth Indonesia,,,,
2013-10-22,,US,World Bank,0,Uganda,US,,,,,Human Rights Watch HRW,,,,
2013-10-18,Deutsche Bank ,Germany,Deutsche Bank,-2,Germany,,,,,,Oxfam Deutschland (Germany),Campact,,,
2013-10-18,,US,Allianz Global Investors,-2,Germany,,,,,,Oxfam Deutschland (Germany),Campact,,,
2013-10-16,BNP Paribas ,France,BNP Paribas,-2,France,,,,,,Amis de la Terre France / FoE France,,,,
2013-10-16,Societe Generale ,France,Societe Generale,-2,France,,,,,,Amis de la Terre France / FoE France,,,,
2013-10-15,ING Groep ,Netherlands,ING,0,Liberia,Netherlands,Nigeria,Uganda,,,Milieudefensie / FoE Netherlands,,,,
2013-10-15,,US,Green Century Funds / Capital Management,2,US,,,,,,As You Sow,Environmental Working Group EWG,U.S. PIRG,,
2013-10-15,,Spain,Grupo Santander,-2,UK,,,,,,Which? (UK Consumers Association),,,,
2013-10-15,Lloyds Banking  ,UK,Lloyds Banking Group plc,-2,UK,,,,,,Which? (UK Consumers Association),,,,
2013-10-14,HSBC   ,UK,HSBC,-2,UK,,,,,,Global Justice Now (formerly World Development Movement / WDM),,,,
2013-10-15,,UK,RBS Group,-2,France,Germany,India,Japan,Sweden,Netherlands,Pax (formerly IKV Pax Christi),Urgewald,attomwaffenfrei,,
2013-10-15,BNP Paribas ,France,BNP Paribas,-2,France,Germany,India,Japan,Sweden,Netherlands,Pax (formerly IKV Pax Christi),Urgewald,attomwaffenfrei,,
2013-10-15,Deutsche Bank ,Germany,Deutsche Bank,-2,France,Germany,India,Japan,Sweden,Netherlands,Pax (formerly IKV Pax Christi),Urgewald,attomwaffenfrei,,
2013-10-15,Barclays  ,UK,Barclays Bank,-2,France,Germany,India,Japan,Sweden,Netherlands,Pax (formerly IKV Pax Christi),Urgewald,attomwaffenfrei,,
2013-10-15,Morgan Stanley ,US,Morgan Stanley,-2,France,Germany,India,Japan,Sweden,Netherlands,Pax (formerly IKV Pax Christi),Urgewald,attomwaffenfrei,,
2013-10-15,ING Groep ,Netherlands,ING,-2,France,Germany,India,Japan,Sweden,Netherlands,Pax (formerly IKV Pax Christi),Urgewald,attomwaffenfrei,,
2013-10-15,Goldman Sachs ,US,"Goldman Sachs Group, Inc.",-2,France,Germany,India,Japan,Sweden,Netherlands,Pax (formerly IKV Pax Christi),Urgewald,attomwaffenfrei,,
2013-10-15,Commerzbank ,Germany,Commerzbank,-2,France,Germany,India,Japan,Sweden,Netherlands,Pax (formerly IKV Pax Christi),Urgewald,attomwaffenfrei,,
2013-10-15,UniCredit ,Italy,UniCredit,-2,France,Germany,India,Japan,Sweden,Netherlands,Pax (formerly IKV Pax Christi),Urgewald,attomwaffenfrei,,
2013-10-15,UniCredit ,Italy,UniCredit,-2,France,Germany,India,Japan,Sweden,Netherlands,Pax (formerly IKV Pax Christi),Urgewald,attomwaffenfrei,,
2013-10-15,BlackRock ,US,BlackRock,-2,France,Germany,India,Japan,Sweden,Netherlands,Pax (formerly IKV Pax Christi),Urgewald,attomwaffenfrei,,
2013-10-15,Aegon ,Netherlands,Aegon Bank,-2,France,Germany,India,Japan,Sweden,Netherlands,Pax (formerly IKV Pax Christi),Urgewald,attomwaffenfrei,,
