date,isin_corporate_name_cleaned,company_parent_country,company_parent,sentiment,target_country1,target_country2,target_country3,target_country4,target_country5,target_country6,ngo_name1,ngo_name2,ngo_name3,ngo_name4,ngo_name5
2014-03-24,,Spain,Grupo Santander,-1,US,,,,,,Resource Media,,,,
2014-03-24,,US,Nationwide Insurance,-1,US,,,,,,Resource Media,,,,
2014-03-24,,US,Quicken Loans,-1,US,,,,,,Resource Media,,,,
2014-03-24,,US,State Employees' Credit Union,-1,US,,,,,,Resource Media,,,,
2014-03-24,,US,Tompkins Financial,-1,US,,,,,,Resource Media,,,,
2014-03-20,,US,World Bank,-1,US,,,,,,Rights and Resources Initiative RRI,,,,
2014-03-20,ING Groep ,Netherlands,ING,-1,Netherlands,,,,,,Consumentenbond,,,,
2014-03-18,BNP Paribas ,France,BNP Paribas,-2,Australia,France,,,,,Amis de la Terre France / FoE France,350.org Australia,Market Forces (Australia),,
2014-03-18,Societe Generale ,France,Societe Generale,-2,Australia,France,,,,,Amis de la Terre France / FoE France,350.org Australia,Market Forces (Australia),,
2014-03-18,,France,Credit Agricole,-2,Australia,France,,,,,Amis de la Terre France / FoE France,350.org Australia,Market Forces (Australia),,
2014-03-14,BNP Paribas ,France,BNP Paribas,-2,Australia,France,Netherlands,,,,Amis de la Terre France / FoE France,Attac France,,,
2014-03-14,Societe Generale ,France,Societe Generale,-2,Australia,France,Netherlands,,,,Amis de la Terre France / FoE France,Attac France,,,
2014-03-14,,Germany,KfW Bankengruppe,-1,Germany,Greece,,,,,WWF Greece,,,,
2014-03-13,,US,Inter-American Development Bank,0,Bolivia,Brazil,Colombia,Peru,,,Derecho Ambiente y Recursos Naturales DAR,Confederación de Pueblos Indígenas de Bolivia (CIDOB),Asociacion Ambiente y Sociedad (Environment and Society) ,Interamerican Assoc for Envnmtl Defense AIDA,
2014-03-12,,UK,EBRD,-2,Ukraine,,,,,,Green Society / Zelenyi Svit (FoE Ukraine),WWF Ukraine ,National Environmental Centre of Ukraine (NECU),,
